diameter_um,concentration,point_group,point_type
0.052737216319498154,1.3236515112441167,0,median
0.052280108946064816,1.4771487196311899,0,upper_ci
0.05250816521928328,1.1753094202085372,0,lower_ci
0.07090251259838883,1.3729577745562274,1,median
0.06967872400534886,1.5604487284007764,1,upper_ci
0.06998267651117998,1.143508971994577,1,lower_ci
0.09449859050075254,1.5182275327523622,2,median
0.09449859050075254,1.7898338065430148,2,upper_ci
0.09367951043715461,1.3604616389890944,2,lower_ci
0.12270065495073552,2.487507474765941,3,median
0.1232358997054547,2.9325149730970748,3,upper_ci
0.12216773489967925,2.270155426924239,3,lower_ci
0.16640716534179922,2.6038669872737565,4,median
0.16640716534179922,2.879376645783408,4,upper_ci
0.16786213442666387,2.487507474765941,4,lower_ci
0.22082354045205688,3.069690847402154,5,median
0.22178681682407742,3.3026433798150086,5,upper_ci
0.21795874125144787,2.6762793069955757,5,lower_ci
0.2955965989560737,2.8272012059078637,6,median
0.29176175010500216,3.1550575102062135,6,upper_ci
0.29818112656453816,2.6038669872737565,6,lower_ci
0.39568856262119567,3.788130083714096,7,median
0.38717000253168476,4.2274204769314725,7,upper_ci
0.39914823711697733,3.1550575102062135,7,lower_ci
0.5273721631949815,4.506834479317068,8,median
0.5273721631949815,4.893386619603371,8,upper_ci
0.5250816521928329,4.2274204769314725,8,lower_ci
0.7121180351439854,3.3944883432924664,9,median
0.6998267651117998,3.89347620473733,9,upper_ci
0.7028795491852715,3.1550575102062135,9,lower_ci
0.9367951043715462,2.2494933421179697,10,median
0.9449859050075249,2.487507474765941,10,upper_ci
0.9408815916528311,1.9433482282177226,10,lower_ci
1.2540032924209454,2.398175012533957,11,median
1.2485568382117973,2.627784070960097,11,upper_ci
1.2649675800406714,2.2290193156902034,11,lower_ci
1.5319874179180695,1.1331011915070108,12,median
1.5453822397509747,1.2302875187946223,12,upper_ci
1.5453822397509747,1.034093704339924,12,lower_ci
1.92111726601672,0.502181092745126,13,median
1.9294975630921407,0.5452532705903085,13,upper_ci
1.9127733666960391,0.47104694976955575,13,lower_ci
2.3675061471725374,0.3451868706024047,14,median
2.377833681671422,0.3713823931028386,14,upper_ci
2.409087376711691,0.3297614375124266,14,lower_ci
2.981811265645383,0.22460679911889408,15,median
2.9688605033811877,0.23727292277161857,15,upper_ci
2.9688605033811877,0.21456975122852592,15,lower_ci
3.722960845978513,0.14219321971225618,16,median
3.690691549787557,0.15298397105190345,16,upper_ci
3.706791083193501,0.13216359591867446,16,lower_ci
4.588024294223426,0.15723838353851147,17,median
4.568097341575078,0.16014018685173104,17,upper_ci
4.548256936733884,0.1448173674985206,17,lower_ci
5.7284091064345075,0.056988977771901365,18,median
5.703529173440691,0.060755699927410416,18,upper_ci
5.803701988631617,0.053946787239288155,18,lower_ci
7.028795491852716,0.06020272482734635,19,median
7.05945650112376,0.06418186160598484,19,upper_ci
7.121180351439847,0.05857381451633086,19,lower_ci
8.89119842392971,0.0381129124863222,20,median
8.929983606628909,0.05647028593354511,20,upper_ci
8.89119842392971,0.02502716448477227,20,lower_ci
10.444883292373929,0.032925930282049744,21,median
10.30937920053124,0.047464975685819796,21,upper_ci
10.30937920053124,0.02009604168140089,21,lower_ci
11.696419335664277,0.04923305479832608,22,median
11.747441452057409,0.0659667290764312,22,upper_ci
11.79868613710909,0.033228362101284485,22,lower_ci
13.270074037886937,0.054442300194180684,23,median
13.04103045901762,0.07361655886444034,23,upper_ci
13.270074037886937,0.03574999424087809,23,lower_ci
16.353495132169922,0.060755699927410416,24,median
16.353495132169922,0.08215350093776089,24,upper_ci
16.353495132169922,0.03353357182244937,24,lower_ci
17.76345377609914,0.03607836570079678,25,median
17.76345377609914,0.05296925018861987,25,upper_ci
17.99693249728112,0.018508558711608933,25,lower_ci
18.961941296667895,0.10612329390976469,26,median
19.294975630921428,0.13460264897870475,26,upper_ci
19.54858432055623,0.07429274294283847,26,lower_ci
21.141791082843927,0.15580726002294001,27,median
21.326642813002433,0.18536785064963573,27,upper_ci
21.51311078097202,0.11735197517800823,27,lower_ci
24.620924014946254,0.09685051162107426,28,median
24.836195293733844,0.1434992953113975,28,upper_ci
24.195962968357343,0.07361655886444034,28,lower_ci
27.57107414695548,0.19227283732935502,29,median
27.451325982220997,0.20876411898828223,29,upper_ci
27.57107414695548,0.16014018685173104,29,lower_ci
30.474174290255174,0.16917088145399342,30,median
30.474174290255174,0.20686402797253767,30,upper_ci
30.07882518043102,0.1370867142812385,30,lower_ci
33.68295677284655,0.26967488548042357,31,median
32.95781503672673,0.29549443418421484,31,upper_ci
32.814670890681796,0.21068166275259503,31,lower_ci
36.90691549787553,0.19761985476095228,32,median
36.428112822224165,0.24837196947000406,32,upper_ci
36.11236693851236,0.16161110924108424,32,lower_ci
39.39699868802664,0.25762387121453884,33,median
39.22588753494667,0.29280495707331633,33,upper_ci
38.21471489378966,0.2126168195727623,33,lower_ci
42.23853869162198,0.2672204080081622,34,median
42.055086009929894,0.30371199581418445,34,upper_ci
41.69056753043626,0.22053683537857263,34,lower_ci
46.68605158411317,0.29280495707331633,35,median
46.68605158411317,0.3065016564442913,35,upper_ci
46.483282226412506,0.2771744175701172,35,lower_ci
52.73721631949815,0.23945232608913328,36,median
53.198320378383315,0.28228961670371566,36,upper_ci
52.96726658634333,0.20876411898828223,36,lower_ci
58.03701988631617,0.177084281311558,37,median
58.54446239661204,0.2049812308571322,37,upper_ci
58.29018895445321,0.12858763412043,37,lower_ci
64.42786262667485,0.16459361034352007,38,median
64.42786262667485,0.18707049460895148,38,upper_ci
64.70890982681033,0.11842987855203123,38,lower_ci
69.67872400534885,0.14884467057038528,39,median
69.67872400534885,0.18707049460895148,39,upper_ci
69.98267651117997,0.11628388246745915,39,lower_ci
76.68105700255606,0.11313757944381067,40,median
76.01641296169176,0.1448173674985206,40,upper_ci
77.01555508297314,0.07228259779807515,40,lower_ci
82.211739497336,0.1383458855191604,41,median
80.79275185749452,0.17229289665954445,41,upper_ci
81.49915747405771,0.10138094155251452,41,lower_ci
88.14132688536799,0.07429274294283847,42,median
88.14132688536799,0.1023121475147092,42,upper_ci
86.24378103651051,0.04452224972364531,42,lower_ci
96.99905111148414,0.05014164110097465,43,median
97.42218033879756,0.06842400192056829,43,upper_ci
96.99905111148414,0.037081688130450575,43,lower_ci
110.04945641178743,0.01867856384235583,44,median
107.21257988735798,0.03088459372873335,44,upper_ci
109.09558699131227,0.008354222206646741,44,lower_ci
121.63712945550849,0.0070864736840344405,45,median
120.58282221978858,0.014459685104043073,45,upper_ci
119.01847100978958,0.00010372501847300987,45,lower_ci
133.27960750279527,0.023691162229064717,46,median
130.41030459017608,0.03742229148791133,46,upper_ci
130.41030459017608,0.010215635465105462,46,lower_ci
142.27188728981082,0.03574999424087809,47,median
142.27188728981082,0.05014164110097465,47,upper_ci
144.14187601628635,0.018173176331657114,47,lower_ci
219.8644478335263,0.006586628014755624,48,median
217.0120911821187,0.013196234762529773,48,upper_ci
221.7868168240773,0.00010758879457226152,48,lower_ci
319.6876785270299,0.009495073818532448,49,median
315.54029005561046,0.018508558711608933,49,upper_ci
314.1698185813199,0.00010957432452702986,49,lower_ci
